variant,probe_family,target,panel,measures,retention_pct
"vTAP w/o M, alpha, S_W",RFF,A,a,expression,82.0
"vTAP w/o M, alpha, S_W",RFF,A',b,held-out classes,63.0
"vTAP w/o M, alpha, S_W",RFF,B_1,c,gender,72.0
"vTAP w/o M, alpha, S_W",RFF,B_2,d,race,19.0
"vTAP w/o M, alpha, S_W",RFF,B_3,e,age,56.0
"vTAP w/o M, alpha, S_W",GBM,A,a,expression,93.0
"vTAP w/o M, alpha, S_W",GBM,A',b,held-out classes,72.0
"vTAP w/o M, alpha, S_W",GBM,B_1,c,gender,71.0
"vTAP w/o M, alpha, S_W",GBM,B_2,d,race,18.0
"vTAP w/o M, alpha, S_W",GBM,B_3,e,age,58.0
"vTAP w/o M, alpha, S_W",kNN,A,a,expression,104.0
"vTAP w/o M, alpha, S_W",kNN,A',b,held-out classes,69.0
"vTAP w/o M, alpha, S_W",kNN,B_1,c,gender,73.0
"vTAP w/o M, alpha, S_W",kNN,B_2,d,race,7.0
"vTAP w/o M, alpha, S_W",kNN,B_3,e,age,43.0
