A_kept,Aprime_heldout,B_gender,B_race,B_age,kind,param,k,seed,sec
0.8590199870299203,0.7734440376569037,0.5849212703496129,0.4190116571711822,0.3738568587363532,vib,0.1,4,0,37.8
0.8536045711765097,0.7901542887029289,0.5932239618855578,0.4271149078446621,0.39147955578213683,vib,0.1,5,0,39.3
0.8562292952396351,0.8163833682008368,0.5819932489201237,0.41052648185598084,0.3920650068981692,vib,0.1,6,0,41.4
0.8568860853594671,0.795371338912134,0.6238590872698158,0.433593543981353,0.38882923921427526,vib,0.1,8,0,46.2
0.8511617548183297,0.8194299163179917,0.5911427907758305,0.44275669829088354,0.39861990065211217,vib,0.1,10,0,51.9
0.8553405883626677,0.7943906903765691,0.6242379088455949,0.4800391903012435,0.4182420435561743,vib,0.1,12,0,57.5
0.8495264492113137,0.7944429916317992,0.6482477339896608,0.5195149254846331,0.49897733922590454,vib,0.1,16,0,47.4
0.8478074862249437,0.8538441422594143,0.691781820518143,0.5403055612402237,0.47558487562217505,vib,0.1,24,0,55.3
0.834067220986128,0.8706066945606694,0.7185328509721357,0.5440264691092276,0.5289568534449718,vib,0.1,32,0,61.5
0.8408709418374188,0.855020920502092,0.7489937629115638,0.5864258322879077,0.573763518140243,vib,0.1,48,0,75.3
0.8519391581540207,0.8768305439330544,0.7716378040704168,0.6181471081606085,0.6072226511520357,vib,0.1,64,0,89.1
0.8599334838568744,0.8914225941422594,0.8248374007848254,0.6546624277747018,0.6379386245290055,vib,0.1,96,0,115.4
0.8568774472976456,0.9018828451882845,0.8341181587245106,0.7129541621709617,0.6538857786769426,vib,0.1,128,0,141.8
0.8497093599176899,0.9039487447698744,0.887366683470233,0.7254051019423756,0.7297455644361118,vib,0.1,192,0,196.1
0.8534579998623926,0.902928870292887,0.9005863950419595,0.7638047356668479,0.7290919568448165,vib,0.1,256,0,257.5
0.772271669432308,0.6126176778242678,0.5617792999831964,0.35854834945878533,0.32968687761429366,vib,0.3,2,0,35.5
0.8516202618126965,0.6911480125523013,0.5750995858415127,0.3826342373306662,0.3722439662755083,vib,0.3,3,0,36.3
0.8738213602443679,0.7995292887029288,0.5872987278711859,0.39549195922986913,0.3722052806592127,vib,0.3,4,0,37.7
0.8615805133339709,0.7568122384937239,0.586525516709664,0.3935081813043087,0.3735590758468253,vib,0.3,5,0,39.7
0.8678632664565502,0.7807662133891213,0.6108808034081586,0.4192541578482807,0.3721740572532532,vib,0.3,6,0,41.5
0.8634206795345983,0.7797332635983263,0.6142941513704792,0.43266225196208735,0.4185262225088523,vib,0.3,8,0,45.6
0.8651435795615493,0.820449790794979,0.597673200288626,0.47159515309053895,0.4457305390208499,vib,0.3,10,0,53.4
0.8633111051983271,0.7997123430962343,0.6364889442418131,0.5176190726835226,0.4458223047947286,vib,0.3,12,0,57.6
0.8636256286900817,0.8006276150627616,0.668725350650891,0.5229995310534581,0.4880601984812488,vib,0.3,16,0,47.6
0.8648254232319758,0.8548640167364017,0.6858716602911958,0.5780872427535272,0.516062726762284,vib,0.3,24,0,55.2
0.8614720071811213,0.8590742677824268,0.7463046980794512,0.5966929299461247,0.5887257695291497,vib,0.3,32,0,62.0
0.8505796454004393,0.8810015690376569,0.7975852286767686,0.6672798920038763,0.6291608710753978,vib,0.3,48,0,75.2
0.8663415370421227,0.8768436192468619,0.8277313208591565,0.6787371532993193,0.6388181704722838,vib,0.3,64,0,89.0
0.8584038284815099,0.8998692468619247,0.8568721643981853,0.7362339072804555,0.6954399630955346,vib,0.3,96,0,115.6
0.875689679586349,0.9019089958158996,0.8693737706214354,0.7513968985128344,0.688437564808804,vib,0.3,128,0,141.8
0.8690183816114173,0.8976725941422594,0.905790558372624,0.7720166893876509,0.723798685188949,vib,0.3,192,0,195.7
0.8691429162321839,0.9091919456066946,0.9137480354654094,0.7721329494118132,0.7357641102314562,vib,0.3,256,0,256.0
0.8198218031186719,0.6156119246861925,0.5594505233816683,0.37608170239058114,0.331526774309549,adv,0.3,2,0,35.7
0.833265400230462,0.6815899581589958,0.5576841720289812,0.3830710855381208,0.34413851164869236,adv,0.3,3,0,37.0
0.8533374323150836,0.7932400627615064,0.5684196740108136,0.40607535099240755,0.36483889394471947,adv,0.3,4,0,38.7
0.8496696479058399,0.7745031380753138,0.5787452183969397,0.4096358763290504,0.3791783692764038,adv,0.3,5,0,40.4
0.8514220294757939,0.8266997907949791,0.6014777253901886,0.4416199867164304,0.434915688065325,adv,0.3,6,0,42.4
0.8434557855248539,0.7933708158995816,0.6064313178938212,0.4813377258035405,0.5221360080718178,adv,0.3,8,0,46.4
0.8580203205662773,0.8319560669456068,0.6399695064693731,0.5085608241157221,0.6288901692504789,adv,0.3,10,0,51.3
0.8505061947437966,0.8121600418410042,0.666760321837717,0.5212133597926877,0.6657677647783016,adv,0.3,12,0,56.8
0.8552572668274522,0.8205413179916319,0.6880504403522818,0.5898231675699174,0.719044016118621,adv,0.3,16,0,50.1
0.858164424272138,0.8643828451882845,0.9173600608882168,0.7471051754520399,0.7709028099544638,adv,0.3,24,0,56.9
0.853939548454554,0.8726595188284518,0.9130726803665155,0.8399309241134182,0.7450537529446756,adv,0.3,32,0,63.2
0.8519773757489414,0.8779680962343097,0.9277683875495457,0.8328871743884783,0.7792647957570912,adv,0.3,48,0,77.1
0.8617453797033493,0.8851856694560669,0.9341735116488252,0.8354047616526118,0.7800546142836234,adv,0.3,64,0,90.9
0.8568127391948834,0.907112970711297,0.937877215352529,0.8434215549411673,0.7863632935843197,adv,0.3,96,0,116.7
0.8549704081275191,0.914395920502092,0.9383356067570106,0.8456689050146043,0.780069236401474,adv,0.3,128,0,143.9
0.8583696714946749,0.9373692468619247,0.9383111427413535,0.8382283123928677,0.7925014003150648,adv,0.3,192,0,197.6
0.8584944200005749,0.9279942468619247,0.9389864978402476,0.8418971079818452,0.7898152639069966,adv,0.3,256,0,259.9
0.8181928784860985,0.614592050209205,0.5556642845140309,0.37872043838052755,0.3269472978130553,adv,0.5,2,0,36.0
0.8405344921366001,0.6815768828451882,0.5610058417104054,0.3838754067981223,0.3470501016662234,adv,0.5,3,0,37.4
0.8532265805847234,0.7536741631799163,0.5686670323913452,0.41145160560580457,0.3816841498856618,adv,0.5,4,0,38.2
0.852808418203189,0.8308708158995817,0.5757504769247497,0.42380818854289903,0.43194964741430064,adv,0.5,5,0,39.8
0.8520769017883818,0.8412526150627615,0.584835522739179,0.4572757206881446,0.4612161451165379,adv,0.5,6,0,41.5
0.8505037237712839,0.7923770920502092,0.619039923296662,0.49360201803195536,0.49405786192446116,adv,0.5,8,0,45.9
0.8574385564924899,0.8006276150627616,0.6319112079787287,0.4804597089656177,0.5762375719941476,adv,0.5,10,0,52.1
0.8608455180517568,0.8141997907949791,0.6342886655003015,0.5042194199537051,0.6244728621643955,adv,0.5,12,0,57.0
0.8542931979168203,0.8215873430962344,0.7242749755359843,0.6280708149848017,0.707131045746286,adv,0.5,16,0,49.2
0.8542802869702791,0.8643043933054393,0.8789172078403463,0.767411043186384,0.7674219024625613,adv,0.5,24,0,57.1
0.8663108638954501,0.875810669456067,0.9254490011762496,0.8022970665509456,0.7727021347190424,adv,0.5,32,0,63.7
0.8590033421177573,0.8894089958158996,0.9355578289792328,0.8355120270678867,0.7747667582077339,adv,0.5,48,0,76.9
0.8644859607208376,0.8997907949790795,0.9321474463521434,0.8350836202444215,0.7824409888821556,adv,0.5,64,0,90.0
0.8521755177682154,0.9164879707112971,0.9360253635006771,0.8405822730439452,0.7808430552700253,adv,0.5,96,0,117.0
0.8524272780031034,0.909178870292887,0.9389528907076279,0.8445467579323663,0.7943757372477498,adv,0.5,128,0,145.0
