setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
A=age,clip,age,768,2,0,B_race,mlp,"h=1024,seed=1",0.26884524488631734,0.4164445091517838,0.2627118644067797,0.42347357403855107,2.834078073501587
A=age,clip,age,768,2,0,B_race,rff,gamma x0.5,0.2763425963654144,0.4269979401903357,0.2630378096479791,0.4146557750759478,0.5989773273468018
A=age,clip,age,768,2,0,B_race,rff,gamma x2.0,0.2684377801320186,0.4351044823241401,0.2588005215123859,0.4210475210327262,0.4459996223449707
A=age,clip,age,768,2,0,B_race,tree,"depth=None,it=14",0.44487001874337867,0.6002130694983889,0.3546284224250326,0.4064783508683422,63.484700441360474
A=age,clip,age,768,2,0,B_race,tree,"depth=6,it=12",0.38961779806046776,0.5542895313577592,0.318122555410691,0.40249564719263087,62.91288614273071
A=age,clip,age,768,2,0,B_race,knn,k=15,1.0,1.0,0.749348109517601,0.33382347177586946,1.4986035823822021
A=age,clip,age,768,2,0,B_race,knn,k=50,1.0,1.0,0.7610821382007823,0.33161314260938846,1.577528715133667
A=age,clip,age,768,2,1,A_kept,lr,wd=1e-05,0.8218214812294431,0.8224362275900644,0.7980470483799379,0.7832750807862086,0.4208519458770752
A=age,clip,age,768,2,1,A_kept,lr,wd=0.001,0.8019734603606669,0.8001866989130444,0.7678650687971593,0.7574995564374195,0.2180020809173584
A=age,clip,age,768,2,1,A_kept,lr,wd=0.1,0.6408075309062039,0.747699640031192,0.6102973812694186,0.7117147225266244,0.21806645393371582
A=age,clip,age,768,2,1,A_kept,mlp,"h=256,seed=0",0.8124078484745378,0.8245550801013745,0.7811806480248558,0.7787601066144703,1.3230006694793701
A=age,clip,age,768,2,1,A_kept,mlp,"h=256,seed=1",0.808211409776568,0.8256305010341599,0.7794052374611629,0.7790225362111993,1.2991902828216553
A=age,clip,age,768,2,1,A_kept,mlp,"h=1024,seed=0",0.8004990359532721,0.8255799971008382,0.7678650687971593,0.7781418124291145,2.110208034515381
A=age,clip,age,768,2,1,A_kept,mlp,"h=1024,seed=1",0.8145627764545764,0.8224571006143043,0.7842876165113183,0.7769198942589185,2.117692232131958
A=age,clip,age,768,2,1,A_kept,rff,gamma x0.5,0.803561302030169,0.8259978707057472,0.7740790057700844,0.7796971050702566,0.519974946975708
A=age,clip,age,768,2,1,A_kept,rff,gamma x2.0,0.8011795395259158,0.8290986260461874,0.7727474478473146,0.7778679088322275,0.325000524520874
