dataset,target,target_type,family,cfg,seed,note,method,k,compat_on_U,compat_on_Uhat,test_bal
rafdb,compat_A,compat,lr,wd=1e-05,1,compat_5fam,adv2attr_lam03,4,0.8504888888817904,0.8432558984421281,0.8432558984421281
rafdb,compat_A,compat,lr,wd=1e-05,1,compat_5fam,leace2attr,768,0.8504888888817904,0.8344350873568832,0.8344350873568832
rafdb,compat_A,compat,lr,wd=0.001,1,compat_5fam,lda_shrink,4,0.8504888888817904,0.8748271573304447,0.8748271573304447
rafdb,compat_A,compat,lr,wd=0.001,1,compat_5fam,vib_b1,4,0.8504888888817904,0.8589484384693323,0.8589484384693323
rafdb,compat_A,compat,lr,wd=0.001,1,compat_5fam,adv2attr_lam03,4,0.8504888888817904,0.8432558984421281,0.8432558984421281
rafdb,compat_A,compat,lr,wd=0.001,1,compat_5fam,leace2attr,768,0.8504888888817904,0.8344350873568832,0.8344350873568832
rafdb,compat_A,compat,lr,wd=0.1,1,compat_5fam,lda_shrink,4,0.8525623746286441,0.8749524986061955,0.8749524986061955
rafdb,compat_A,compat,lr,wd=0.1,1,compat_5fam,vib_b1,4,0.8525623746286441,0.8581283242669047,0.8581283242669047
rafdb,compat_A,compat,lr,wd=0.1,1,compat_5fam,adv2attr_lam03,4,0.8525623746286441,0.8427930044237613,0.8427930044237613
rafdb,compat_A,compat,lr,wd=0.1,1,compat_5fam,leace2attr,768,0.8525623746286441,0.8328382940475851,0.8328382940475851
rafdb,compat_A,compat,mlp,"h=256,seed=0",1,compat_5fam,lda_shrink,4,0.8648555448218793,0.8868746376302499,0.8868746376302499
rafdb,compat_A,compat,mlp,"h=256,seed=0",1,compat_5fam,vib_b1,4,0.8648555448218793,0.8565369657076326,0.8565369657076326
rafdb,compat_A,compat,mlp,"h=256,seed=0",1,compat_5fam,adv2attr_lam03,4,0.8648555448218793,0.8404855762562125,0.8404855762562125
rafdb,compat_A,compat,mlp,"h=256,seed=0",1,compat_5fam,leace2attr,768,0.8648555448218793,0.8527492145596527,0.8527492145596527
rafdb,compat_A,compat,mlp,"h=256,seed=1",1,compat_5fam,lda_shrink,4,0.86632868484735,0.8827498282248947,0.8827498282248947
rafdb,compat_A,compat,mlp,"h=256,seed=1",1,compat_5fam,vib_b1,4,0.86632868484735,0.8525128249125811,0.8525128249125811
rafdb,compat_A,compat,mlp,"h=256,seed=1",1,compat_5fam,adv2attr_lam03,4,0.86632868484735,0.8358464275223356,0.8358464275223356
rafdb,compat_A,compat,mlp,"h=256,seed=1",1,compat_5fam,leace2attr,768,0.86632868484735,0.8527321225827798,0.8527321225827798
rafdb,compat_A,compat,mlp,"h=1024,seed=0",1,compat_5fam,lda_shrink,4,0.8649849863102981,0.8831692871477042,0.8831692871477042
rafdb,compat_A,compat,mlp,"h=1024,seed=0",1,compat_5fam,vib_b1,4,0.8649849863102981,0.85752589749445,0.85752589749445
rafdb,compat_A,compat,mlp,"h=1024,seed=0",1,compat_5fam,adv2attr_lam03,4,0.8649849863102981,0.8366950023613944,0.8366950023613944
rafdb,compat_A,compat,mlp,"h=1024,seed=0",1,compat_5fam,leace2attr,768,0.8649849863102981,0.8482876178535838,0.8482876178535838
rafdb,compat_A,compat,mlp,"h=1024,seed=1",1,compat_5fam,lda_shrink,4,0.8637299679870297,0.8820550552982178,0.8820550552982178
rafdb,compat_A,compat,mlp,"h=1024,seed=1",1,compat_5fam,vib_b1,4,0.8637299679870297,0.8560978805564602,0.8560978805564602
rafdb,compat_A,compat,mlp,"h=1024,seed=1",1,compat_5fam,adv2attr_lam03,4,0.8637299679870297,0.8353154257429644,0.8353154257429644
