setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
DINOv2-L,dinol,emotion,1024,4,0,B_age,rff,gamma x2.0,0.34968625213918997,0.39357890947548657,0.31910039113428945,0.3455557917963047,0.4999973773956299
DINOv2-L,dinol,emotion,1024,4,0,B_age,tree,"depth=None,it=18",0.5451878412517317,0.6475227815813787,0.3670143415906128,0.32908443700146406,85.43773651123047
DINOv2-L,dinol,emotion,1024,4,0,B_age,tree,"depth=6,it=17",0.5052562953304539,0.6039128130289135,0.35853976531942633,0.3457545207075914,83.83282470703125
DINOv2-L,dinol,emotion,1024,4,0,B_age,knn,k=15,1.0,1.0,0.5149934810951761,0.24411098492956107,1.9822840690612793
DINOv2-L,dinol,emotion,1024,4,0,B_age,knn,k=50,1.0,1.0,0.5420469361147328,0.24471022967900263,2.071554660797119
DINOv2-L,dinol,emotion,1024,4,1,A_kept,lr,wd=1e-05,0.9024237358963644,0.8780532728218555,0.845679012345679,0.7825965580009137,0.4710066318511963
DINOv2-L,dinol,emotion,1024,4,1,A_kept,lr,wd=0.001,0.9021103217718345,0.8780573317086701,0.8448559670781893,0.7795997376511522,0.2409992218017578
DINOv2-L,dinol,emotion,1024,4,1,A_kept,lr,wd=0.1,0.8986627664020058,0.8744058995731034,0.839917695473251,0.7785175897761514,0.23400139808654785
DINOv2-L,dinol,emotion,1024,4,1,A_kept,mlp,"h=256,seed=0",0.9009611366485583,0.8970583841008463,0.837037037037037,0.7838064454169765,1.3404872417449951
DINOv2-L,dinol,emotion,1024,4,1,A_kept,mlp,"h=256,seed=1",0.9011700793982449,0.8962810439702725,0.8407407407407408,0.7828422940801811,1.2840335369110107
DINOv2-L,dinol,emotion,1024,4,1,A_kept,mlp,"h=1024,seed=0",0.911199331383201,0.9013459162476009,0.8473251028806584,0.7848906364224827,2.6703755855560303
DINOv2-L,dinol,emotion,1024,4,1,A_kept,mlp,"h=1024,seed=1",0.9055578771416631,0.8998623701214793,0.8436213991769548,0.7862464613169873,2.6749370098114014
DINOv2-L,dinol,emotion,1024,4,1,A_kept,rff,gamma x0.5,0.900856665273715,0.8800779765896621,0.8440329218106996,0.783602581764604,1.8512346744537354
DINOv2-L,dinol,emotion,1024,4,1,A_kept,rff,gamma x2.0,0.9004387797743418,0.8875760357764063,0.8382716049382716,0.7770509764302639,0.3860006332397461
DINOv2-L,dinol,emotion,1024,4,1,A_kept,tree,"depth=None,it=25",0.9698077726702884,0.9701995708490809,0.8609053497942387,0.7750955205432322,82.61116290092468
DINOv2-L,dinol,emotion,1024,4,1,A_kept,tree,"depth=6,it=27",0.9499582114500627,0.9565582366833452,0.8551440329218107,0.7755785115290668,81.1180112361908
DINOv2-L,dinol,emotion,1024,4,1,A_kept,knn,k=15,1.0,1.0,0.8728395061728395,0.7677482437848508,1.3271119594573975
DINOv2-L,dinol,emotion,1024,4,1,A_kept,knn,k=50,1.0,1.0,0.8753086419753087,0.7680712167361883,1.2608883380889893
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,lr,wd=1e-05,0.5813264171915524,0.5649425724125217,0.5626959247648903,0.5189722803347281,0.3970005512237549
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,lr,wd=0.001,0.5702111893293813,0.5542589019445582,0.542319749216301,0.4970580543933054,0.20399880409240723
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,lr,wd=0.1,0.574286772878844,0.5583691156250044,0.5501567398119123,0.5085251046025104,0.2030012607574463
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,mlp,"h=256,seed=0",0.6065209336791404,0.6439630312984221,0.5924764890282131,0.6282426778242678,0.5659980773925781
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,mlp,"h=256,seed=1",0.6135605779918488,0.645640612091811,0.622257053291536,0.6522751046025105,0.5475897789001465
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,mlp,"h=1024,seed=0",0.6028158577250834,0.6485616011326485,0.5611285266457681,0.6031642259414226,0.841895580291748
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,mlp,"h=1024,seed=1",0.6157836235642831,0.6493796328743912,0.5877742946708464,0.6251046025104603,0.839972972869873
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,rff,gamma x0.5,0.6076324564653576,0.6255814182594537,0.6175548589341693,0.6262683054393305,0.892000675201416
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,rff,gamma x2.0,0.6506113375324194,0.6664168591240269,0.6253918495297806,0.6252615062761506,0.24599981307983398
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,tree,"depth=None,it=12",0.8203038162282327,0.8335859556088479,0.6206896551724138,0.5784649581589958,68.69044780731201
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,tree,"depth=6,it=14",0.7673212300852168,0.7814884166705369,0.6394984326018809,0.6034911087866108,67.84684371948242
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,knn,k=15,1.0,1.0,0.7366771159874608,0.5311323221757323,0.18247771263122559
DINOv2-L,dinol,emotion,1024,4,1,Aprime_heldout,knn,k=50,1.0,1.0,0.7633228840125392,0.532282949790795,0.19568181037902832
DINOv2-L,dinol,emotion,1024,4,1,B_gender,lr,wd=1e-05,0.5599444396214949,0.5537607422615352,0.5587312652492158,0.5521436902608506,0.5094237327575684
DINOv2-L,dinol,emotion,1024,4,1,B_gender,lr,wd=0.001,0.5488323639204792,0.5487691556714167,0.5517601951899617,0.5512881910466645,0.2130284309387207
DINOv2-L,dinol,emotion,1024,4,1,B_gender,lr,wd=0.1,0.5687125618543276,0.5550173891074334,0.5657023353084698,0.5542826854075853,0.22696566581726074
DINOv2-L,dinol,emotion,1024,4,1,B_gender,mlp,"h=256,seed=0",0.598402639117979,0.5803610532444305,0.5841756709654932,0.5694488924472911,1.5525259971618652
DINOv2-L,dinol,emotion,1024,4,1,B_gender,mlp,"h=256,seed=1",0.6070839482593975,0.573301330177718,0.5946322760543743,0.5655981575383764,1.5026161670684814
DINOv2-L,dinol,emotion,1024,4,1,B_gender,mlp,"h=1024,seed=0",0.5992707700321208,0.56997164336242,0.582084349947717,0.5568706817305696,3.193556308746338
