dataset,encoder,method,D,k,transmitted_bytes,seed,note,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,mlp,"h=1024,seed=0",0.9705390722941912,0.983647202262093,0.9127572016460904,0.8527756637788956,1.3207600116729736
rafdb,clip-vit-l14,logits,768,5,20,0,,A_kept,mlp,"h=1024,seed=1",0.9701211867948182,0.9828381201550128,0.9152263374485596,0.8549794548124211,1.2619998455047607
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,lr,wd=1e-05,0.740644683216006,0.7424062025453629,0.7272727272727273,0.7223587866108787,0.1649999618530273
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,lr,wd=0.001,0.740644683216006,0.7424062025453629,0.7272727272727273,0.7223587866108787,0.1660003662109375
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,lr,wd=0.1,0.7410151908114117,0.7435486322509278,0.7304075235109718,0.7265298117154811,0.1644997596740722
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,mlp,"h=256,seed=0",0.7788069655427936,0.7821875259483186,0.7492163009404389,0.7494769874476988,0.5160000324249268
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,mlp,"h=256,seed=1",0.7832530566876621,0.7789836562535624,0.7601880877742947,0.7484832635983263,0.5185000896453857
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,mlp,"h=1024,seed=0",0.8051130048165988,0.8005438063914139,0.7539184952978056,0.7318253138075315,0.5360000133514404
rafdb,clip-vit-l14,logits,768,5,20,0,,Aprime_heldout,mlp,"h=1024,seed=1",0.8088180807706558,0.7990607940079967,0.7570532915360502,0.7318383891213389,0.5099997520446777
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,lr,wd=1e-05,0.6010938449518187,0.5987347328444925,0.6071802021610317,0.6043961094801766,0.1660001277923584
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,lr,wd=0.001,0.6010938449518187,0.5987347328444925,0.606831648658069,0.6040874675048681,0.1679999828338623
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,lr,wd=0.1,0.6015279104088896,0.5992637413238151,0.606831648658069,0.6038124326621792,0.1640002727508545
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,mlp,"h=256,seed=0",0.6437190728361837,0.6427343117897122,0.6155454862321367,0.6137287607864069,1.4895000457763672
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,mlp,"h=256,seed=1",0.6379025957114333,0.6372097508859643,0.6162425932380621,0.6151711492650911,1.493999719619751
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,mlp,"h=1024,seed=0",0.6535289521659866,0.6470023641906191,0.6172882537469502,0.6101379869327561,1.5115056037902832
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,mlp,"h=1024,seed=1",0.6529212605260873,0.643557791152033,0.6287905193447194,0.6194980675898744,1.49149489402771
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,rff,gamma x0.5,0.6249674450907197,0.6233893870707776,0.6179853607528756,0.6165310025798416,0.3503856658935547
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,rff,gamma x2.0,0.6382498480770901,0.6380573019402399,0.612757058208435,0.6108012335794561,0.3591904640197754
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,tree,"depth=None,it=29",0.6657695980553867,0.6662082541370569,0.6082258626699198,0.6077056707094071,0.4124929904937744
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,tree,"depth=6,it=51",0.6766212344821599,0.6768429923738544,0.6089229696758452,0.6066727456038905,0.442026138305664
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,knn,k=15,1.0,1.0,0.5988149180899268,0.5790197590170902,0.1765058040618896
rafdb,clip-vit-l14,logits,768,5,20,0,,B_gender,knn,k=50,1.0,1.0,0.6117113976995469,0.5858555980586939,0.3019683361053467
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,lr,wd=1e-05,0.3795941651047184,0.4531838768328234,0.355606258148631,0.4281712776155474,0.1709635257720947
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,lr,wd=0.001,0.3795941651047184,0.4531838768328234,0.355606258148631,0.4281712776155474,0.1674890518188476
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,lr,wd=0.1,0.3810610382201939,0.4534686039265428,0.3569100391134289,0.4280040418686323,0.1645002365112304
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,mlp,"h=256,seed=0",0.4175698802053622,0.5068184381592048,0.3976531942633637,0.4684049873608433,1.482506513595581
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,mlp,"h=256,seed=1",0.4348463857876293,0.5034908990903566,0.4204693611473272,0.4724743215394742,1.463493824005127
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,mlp,"h=1024,seed=0",0.4874093390921685,0.5298504871376046,0.4527379400260756,0.4672798558749033,1.5150060653686523
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,mlp,"h=1024,seed=1",0.3492787873848912,0.5238098417700577,0.3164928292046936,0.4632599732279794,1.5390000343322754
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,rff,gamma x0.5,0.3959742482275283,0.4815981843921967,0.378748370273794,0.4537582264636432,0.3619976043701172
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,rff,gamma x2.0,0.4383505826745986,0.5136906336759538,0.4129726205997392,0.4717690124824924,0.3630013465881347
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,tree,"depth=None,it=19",0.5495884605981582,0.6215435038142041,0.4328552803129074,0.4114148443758416,0.4539721012115478
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,tree,"depth=6,it=17",0.5014261266400456,0.5790933837729003,0.4204693611473272,0.4308984467936255,0.4552102088928222
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,knn,k=15,1.0,1.0,0.7623859191655802,0.3446354093997095,0.1939709186553955
rafdb,clip-vit-l14,logits,768,5,20,0,,B_race,knn,k=50,1.0,1.0,0.7679269882659713,0.3417385582421737,0.3275244235992431
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,lr,wd=1e-05,0.2691712166897563,0.3488749895470781,0.264341590612777,0.3474419729610358,0.1790769100189209
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,lr,wd=0.001,0.2691712166897563,0.3489485330319962,0.2640156453715775,0.3470435665865338,0.1709973812103271
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,lr,wd=0.1,0.2675413576725613,0.3490448932212658,0.2617340286831812,0.3482594889802367,0.1674997806549072
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,mlp,"h=256,seed=0",0.385298671664901,0.4655791210121013,0.3676662320730117,0.4449109288162144,1.5084998607635498
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,mlp,"h=256,seed=1",0.3887213756010105,0.4697773007512218,0.3689700130378096,0.438837885633789,1.5195915699005127
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,mlp,"h=1024,seed=0",0.4117838806943199,0.4897882736076572,0.3823337679269882,0.4353765965961226,1.5285015106201172
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,mlp,"h=1024,seed=1",0.4190367533208377,0.4887471876611301,0.3927640156453715,0.4337473157074653,1.533992052078247
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,rff,gamma x0.5,0.3735636867410969,0.4524020596745108,0.3692959582790091,0.4354999875107094,0.3789975643157959
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,rff,gamma x2.0,0.4060793741341374,0.4806177264698584,0.3774445893089961,0.4298923257785295,0.3950412273406982
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,tree,"depth=None,it=24",0.4822752831880042,0.604673696081586,0.3679921773142112,0.3829582251529028,0.5672104358673096
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,tree,"depth=6,it=25",0.4399804416917937,0.5633726362266079,0.3526727509778357,0.3890989277095765,0.5770010948181152
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,knn,k=15,1.0,1.0,0.546284224250326,0.2988210565634183,0.2044985294342041
rafdb,clip-vit-l14,logits,768,5,20,0,,B_age,knn,k=50,1.0,1.0,0.5697522816166884,0.3005403496395533,0.3370060920715332
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,lr,wd=1e-05,0.9538236523192644,0.9719787513173924,0.9094650205761317,0.8636288160716903,0.199000597000122
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,lr,wd=0.001,0.9538236523192644,0.9719787513173924,0.9094650205761317,0.8636288160716903,0.208998441696167
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,lr,wd=0.1,0.9520476389469286,0.97133863180716,0.9102880658436214,0.8670016602487042,0.1623687744140625
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,mlp,"h=256,seed=0",0.9685541161721688,0.981382517792608,0.9160493827160494,0.8622035632005108,1.2330234050750732
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,mlp,"h=256,seed=1",0.9688675302966988,0.9814554015111276,0.9156378600823044,0.8621601281049536,1.204803466796875
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,mlp,"h=1024,seed=0",0.9699122440451317,0.98253032893231,0.9176954732510288,0.8610345512701041,1.2287817001342771
rafdb,clip-vit-l14,logits,768,5,20,1,,A_kept,mlp,"h=1024,seed=1",0.9702256581696616,0.9830701015200372,0.9148148148148147,0.8556889311696217,1.2004797458648682
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,lr,wd=1e-05,0.7499073731011485,0.7522736004796304,0.7382445141065831,0.7317599372384938,0.1509754657745361
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,lr,wd=0.001,0.7499073731011485,0.7522736004796304,0.7382445141065831,0.7317599372384938,0.1499931812286377
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,lr,wd=0.1,0.7502778806965543,0.7525258709135356,0.7398119122257053,0.7328059623430963,0.1490066051483154
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,mlp,"h=256,seed=0",0.7865876250463134,0.7830344087020282,0.7617554858934169,0.7495292887029288,0.5085418224334717
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,mlp,"h=256,seed=1",0.7873286402371249,0.7911053033789461,0.7539184952978056,0.7463781380753138,0.4948987960815429
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,mlp,"h=1024,seed=0",0.8117821415339015,0.8015240371150677,0.7758620689655172,0.748548640167364,0.5047497749328613
rafdb,clip-vit-l14,logits,768,5,20,1,,Aprime_heldout,mlp,"h=1024,seed=1",0.8006669136717303,0.8081984724444689,0.7554858934169278,0.7432662133891214,0.5028848648071289
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,lr,wd=1e-05,0.585727927771508,0.5850752927477434,0.588009759498083,0.5884292619280609,0.1539773941040039
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,lr,wd=0.001,0.5856411146800937,0.5849744252875859,0.588009759498083,0.5884292619280609,0.1490006446838379
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,lr,wd=0.1,0.585727927771508,0.584927265676528,0.5869640989891949,0.5873199794403424,0.1469995975494384
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,mlp,"h=256,seed=0",0.6333883149578956,0.6335929407411511,0.6033461136284419,0.6035680396168788,1.4266345500946045
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,mlp,"h=256,seed=1",0.6367740255230488,0.6359971586180624,0.6026490066225165,0.6016672597337129,1.4243109226226809
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,mlp,"h=1024,seed=0",0.6471047834013369,0.6371944101780647,0.6176368072499129,0.6087047415710346,1.4467248916625977
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,mlp,"h=1024,seed=1",0.649969615418005,0.6406710634344728,0.6124085047054723,0.6038917553796124,1.4414756298065186
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,rff,gamma x0.5,0.6160256966750586,0.6157632106705906,0.6214708957825026,0.6212676313890618,0.342003583908081
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,rff,gamma x2.0,0.6315652400381978,0.6316227511490621,0.6075287556639944,0.6065383170734118,0.3470535278320312
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,tree,"depth=None,it=40",0.6759267297508464,0.6769488862984236,0.597420704078076,0.5986878391602171,0.4111802577972412
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,tree,"depth=6,it=31",0.6582168591023526,0.6603439841706029,0.6033461136284419,0.6043014658640493,0.4105191230773926
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,knn,k=15,1.0,1.0,0.5901010805158592,0.5703869268254109,0.1769981384277343
rafdb,clip-vit-l14,logits,768,5,20,1,,B_gender,knn,k=50,1.0,1.0,0.5988149180899268,0.572968992477933,0.3019857406616211
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,lr,wd=1e-05,0.4103985005297041,0.4608575608831685,0.3904823989569752,0.4390136727162599,0.1860895156860351
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,lr,wd=0.001,0.4103170075788444,0.4608220659057078,0.3904823989569752,0.4390136727162599,0.1679999828338623
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,lr,wd=0.1,0.4058348952815581,0.4597482222461622,0.3855932203389831,0.4385319606039743,0.1700003147125244
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,mlp,"h=256,seed=0",0.4772227202346997,0.5187747971660385,0.4354628422425032,0.4632900355442104,1.468655347824097
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,mlp,"h=256,seed=1",0.4917284654877353,0.5148327074973152,0.454367666232073,0.4673127294768409,1.4472150802612305
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,mlp,"h=1024,seed=0",0.3929590090457175,0.5374627475338799,0.3529986962190352,0.4698372753316995,1.4525599479675293
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,mlp,"h=1024,seed=1",0.4538342433379512,0.5425758563256594,0.4035202086049543,0.4596083765354935,1.4444708824157717
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,rff,gamma x0.5,0.4201776546328742,0.4944326223282713,0.3950456323337679,0.4652925139767001,0.3695547580718994
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,rff,gamma x2.0,0.4707032841659196,0.5242799036688478,0.4289439374185136,0.4659378376483031,0.3477718830108642
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,tree,"depth=None,it=23",0.5802298101214245,0.6560562140189519,0.4651238591916558,0.4237966611424714,0.4576849937438965
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,tree,"depth=6,it=30",0.5552929671583408,0.6505472648555842,0.4540417209908735,0.4299429671796657,0.4880216121673584
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,knn,k=15,1.0,1.0,0.7610821382007823,0.3407684689747827,0.1987926959991455
rafdb,clip-vit-l14,logits,768,5,20,1,,B_race,knn,k=50,1.0,1.0,0.7666232073011734,0.3373232703305013,0.3202259540557861
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,lr,wd=1e-05,0.2514057534023307,0.3418056571663965,0.2428292046936114,0.328629523372698,0.1774306297302246
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,lr,wd=0.001,0.2514872463531905,0.3419000415480907,0.2428292046936114,0.328629523372698,0.1659996509552002
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,lr,wd=0.1,0.2501018661885746,0.3420935316950239,0.2379400260756193,0.3214124616402518,0.1639997959136963
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,mlp,"h=256,seed=0",0.3713633770678836,0.4574520143119002,0.3494132985658409,0.4234045060622792,1.458575963973999
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,mlp,"h=256,seed=1",0.3603618287018172,0.4547450169897392,0.3419165580182529,0.423889196377566,1.4608495235443115
rafdb,clip-vit-l14,logits,768,5,20,1,,B_age,mlp,"h=1024,seed=0",0.4128432890554967,0.4870623255865937,0.3758148631029987,0.4185823693409273,1.4166781902313232
