dataset,target,family,cfg,seed,f,method,note,on_U,on_Uhat_real,on_Uhat_f,rel_err,delta
rafdb,compat_B_gender,lr,wd=0.1,2,16,lda_shrink,compat_quant,0.9367770759817731,0.5639242258003934,0.5647248663128033,3.198943260514137e-05,0.0008006405124099114
rafdb,compat_B_gender,mlp,"h=256,seed=0",2,16,lda_shrink,compat_quant,0.9322818748826222,0.5517858731429588,0.5517858731429588,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=256,seed=1",2,16,lda_shrink,compat_quant,0.9336417281973728,0.556161719499056,0.556161719499056,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=1024,seed=0",2,16,lda_shrink,compat_quant,0.9345340469906789,0.5590927062637765,0.5590927062637765,3.198943260514137e-05,0.0
rafdb,compat_B_gender,mlp,"h=1024,seed=1",2,16,lda_shrink,compat_quant,0.9353682946357085,0.5499187003924126,0.5499187003924126,3.198943260514137e-05,0.0
rafdb,compat_B_gender,rff,gamma x0.5,2,16,lda_shrink,compat_quant,0.937727465923356,0.5488610641599699,0.5488610641599699,3.198943260514137e-05,0.0
rafdb,compat_B_gender,rff,gamma x2.0,2,16,lda_shrink,compat_quant,0.9276431021360299,0.5289606994237365,0.5289606994237365,3.198943260514137e-05,0.0
rafdb,compat_B_gender,tree,depth=None,2,16,lda_shrink,compat_quant,0.9395212466269312,0.5553576194288764,0.5553576194288764,3.198943260514137e-05,0.0
rafdb,compat_B_gender,tree,depth=6,2,16,lda_shrink,compat_quant,0.9385372495527287,0.5558006899346638,0.5558006899346638,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=15,2,16,lda_shrink,compat_quant,0.9101970465261098,0.536655497237296,0.536655497237296,3.198943260514137e-05,0.0
rafdb,compat_B_gender,knn,k=50,2,16,lda_shrink,compat_quant,0.9128495388903715,0.5316040486710356,0.5316040486710356,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=1e-05,0,16,lda_shrink,compat_quant,0.8164966185050145,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.001,0,16,lda_shrink,compat_quant,0.8164966185050145,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.1,0,16,lda_shrink,compat_quant,0.8180186643930102,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=256,seed=0",0,16,lda_shrink,compat_quant,0.8029303397047003,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=256,seed=1",0,16,lda_shrink,compat_quant,0.8047801920437062,0.33146812994426406,0.33132634630609586,3.198943260514137e-05,-0.0001417836381681914
rafdb,compat_B_race,mlp,"h=1024,seed=0",0,16,lda_shrink,compat_quant,0.8107805520839753,0.35183389650498925,0.35183389650498925,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=1024,seed=1",0,16,lda_shrink,compat_quant,0.8078715789033323,0.3564138309205163,0.3565556145586845,3.198943260514137e-05,0.0001417836381681914
rafdb,compat_B_race,rff,gamma x0.5,0,16,lda_shrink,compat_quant,0.8395067662077075,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,rff,gamma x2.0,0,16,lda_shrink,compat_quant,0.8115348309530249,0.33313518849738405,0.33313518849738405,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=None,0,16,lda_shrink,compat_quant,0.8077279474187358,0.3331915496951652,0.3331915496951652,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=6,0,16,lda_shrink,compat_quant,0.8142645329226431,0.3344300283068245,0.33428824466865636,3.198943260514137e-05,-0.00014178363816813588
rafdb,compat_B_race,knn,k=15,0,16,lda_shrink,compat_quant,0.7126264836767305,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,knn,k=50,0,16,lda_shrink,compat_quant,0.6659997032456485,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=1e-05,1,16,lda_shrink,compat_quant,0.8171867496299283,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.001,1,16,lda_shrink,compat_quant,0.8171867496299283,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.1,1,16,lda_shrink,compat_quant,0.8186300381203567,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=256,seed=0",1,16,lda_shrink,compat_quant,0.8047801920437062,0.33146812994426406,0.33132634630609586,3.198943260514137e-05,-0.0001417836381681914
rafdb,compat_B_race,mlp,"h=256,seed=1",1,16,lda_shrink,compat_quant,0.8027352507777118,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=1024,seed=0",1,16,lda_shrink,compat_quant,0.8078715789033323,0.3564138309205163,0.3565556145586845,3.198943260514137e-05,0.0001417836381681914
rafdb,compat_B_race,mlp,"h=1024,seed=1",1,16,lda_shrink,compat_quant,0.8073577496394799,0.3484633794585157,0.3486051630966838,3.198943260514137e-05,0.00014178363816813588
rafdb,compat_B_race,rff,gamma x0.5,1,16,lda_shrink,compat_quant,0.8414008577213874,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,rff,gamma x2.0,1,16,lda_shrink,compat_quant,0.8176303343854618,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=None,1,16,lda_shrink,compat_quant,0.8109550060986083,0.335026224102103,0.335026224102103,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=6,1,16,lda_shrink,compat_quant,0.8106690377509457,0.3331915496951652,0.3331915496951652,3.198943260514137e-05,0.0
rafdb,compat_B_race,knn,k=15,1,16,lda_shrink,compat_quant,0.7126264836767305,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,knn,k=50,1,16,lda_shrink,compat_quant,0.6659997032456485,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=1e-05,2,16,lda_shrink,compat_quant,0.8167801857813508,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.001,2,16,lda_shrink,compat_quant,0.8167801857813508,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,lr,wd=0.1,2,16,lda_shrink,compat_quant,0.818894818330766,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=256,seed=0",2,16,lda_shrink,compat_quant,0.8027352507777118,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=256,seed=1",2,16,lda_shrink,compat_quant,0.8026655594942911,0.33938570404089236,0.33938570404089236,3.198943260514137e-05,0.0
rafdb,compat_B_race,mlp,"h=1024,seed=0",2,16,lda_shrink,compat_quant,0.8073577496394799,0.3484633794585157,0.3486051630966838,3.198943260514137e-05,0.00014178363816813588
rafdb,compat_B_race,mlp,"h=1024,seed=1",2,16,lda_shrink,compat_quant,0.8077552473739109,0.3407677275781505,0.3407677275781505,3.198943260514137e-05,0.0
rafdb,compat_B_race,rff,gamma x0.5,2,16,lda_shrink,compat_quant,0.8406477003558726,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,rff,gamma x2.0,2,16,lda_shrink,compat_quant,0.8253980786205742,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=None,2,16,lda_shrink,compat_quant,0.8192814736098816,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,tree,depth=6,2,16,lda_shrink,compat_quant,0.8184053196721256,0.3352431560039793,0.3352431560039793,3.198943260514137e-05,0.0
rafdb,compat_B_race,knn,k=15,2,16,lda_shrink,compat_quant,0.7126264836767305,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_race,knn,k=50,2,16,lda_shrink,compat_quant,0.6659997032456485,0.3333333333333333,0.3333333333333333,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=1e-05,0,16,lda_shrink,compat_quant,0.7565122059213225,0.22856873378557202,0.22856873378557202,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.001,0,16,lda_shrink,compat_quant,0.7565122059213225,0.22856873378557202,0.22856873378557202,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.1,0,16,lda_shrink,compat_quant,0.7587986287877089,0.22605706484279633,0.22605706484279633,3.198943260514137e-05,0.0
