f,seed,target,n_classes,chance_balanced,abs_err,rel_err,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
16,0,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=21",0.648059727406893,0.6558204890002821,0.5751132798884628,0.5799432138303235,70.33099889755249
16,0,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.5719762983617985,0.5537874744239837,1.5795023441314697
16,0,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.5981178110840014,0.5722600302464194,1.5560312271118164
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.36981501100154834,0.3819452036125705,0.3484354628422425,0.3373858110880285,0.540001392364502
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.3667997718197376,0.38103139680805187,0.35039113428943935,0.3363957266921778,0.5279989242553711
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.3611767582104148,0.3799366282462103,0.3484354628422425,0.3395597591314492,0.5044996738433838
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.41292478200635646,0.42109249860286163,0.3895045632333768,0.374452432485092,1.7685065269470215
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.3947518539646321,0.4240234820368651,0.36277705345501954,0.36843734612491663,1.656493902206421
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.37494906690571267,0.4142851566898526,0.3533246414602347,0.37028807158076854,3.0254993438720703
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.3570206177165675,0.4269084962286025,0.32301173402868316,0.3707331127855234,2.972001791000366
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.35482030804335424,0.42075080022309147,0.32757496740547587,0.3738633834522726,0.82200026512146
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.3639475185396463,0.44253212333202524,0.33148631029986964,0.36657604165417673,0.7955005168914795
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=11",0.5568413332246761,0.6638167516181553,0.424380704041721,0.3578982198810949,95.51400017738342
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=12",0.519925026485209,0.6375878691091488,0.3891786179921773,0.35175063427610914,94.63903450965881
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.7623859191655802,0.33675307986886777,1.6404659748077393
16,0,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.766297262059974,0.3333333333333333,1.7855026721954346
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.20902941895526037,0.3183450798282323,0.2213168187744459,0.3191175689670339,0.24399590492248535
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.20902941895526037,0.3183450798282323,0.2213168187744459,0.3191175689670339,0.2585022449493408
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.20878494010268112,0.31830492826168233,0.2213168187744459,0.3191175689670339,0.2559962272644043
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.2606959498003423,0.3796883074002445,0.24315514993481094,0.3432474363060992,1.6460018157958984
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.24765707766278217,0.3694317094324269,0.23859191655801826,0.3422983441377091,1.6120009422302246
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.2737348219379024,0.36877978645132464,0.25749674054758803,0.3225838560441236,3.224508285522461
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.23518865618124032,0.37207070950015214,0.2183833116036506,0.3324700569668645,3.2425270080566406
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.2586586260288485,0.35929265893303086,0.2522816166883963,0.3525586886653387,0.4819943904876709
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.2940265667019803,0.3949910609233716,0.26401564537157757,0.3395939098774794,0.5235061645507812
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=18",0.5260369977996904,0.6384492989114702,0.33833116036505867,0.31515156780736175,75.15049624443054
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=16",0.46833998859098686,0.5866442486465999,0.32301173402868316,0.3231143049102518,67.99664783477783
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.5283572359843546,0.2581833128124803,1.616502285003662
16,0,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.5541069100391134,0.25658667549921865,1.6344997882843018
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.9364814040952779,0.9207649448771928,0.9123456790123456,0.8894351132212541,0.2284986972808838
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.9364814040952779,0.9207649448771928,0.9123456790123456,0.8894351132212541,0.2264997959136963
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.9340785624738821,0.918768934535773,0.9111111111111111,0.8888910960032825,0.24750089645385742
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.9386753029669871,0.9360302883901228,0.9127572016460905,0.8947716278850661,1.3640000820159912
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.9377350605933974,0.937386215208007,0.9078189300411522,0.892570967165397,1.374999761581421
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.9446301713330547,0.9413433991283713,0.9131687242798354,0.8837030293194909,2.5388622283935547
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.9355411617216882,0.9420637124711402,0.9041152263374486,0.8835519789079882,2.5479576587677
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.9381529460927706,0.9235721654203433,0.9131687242798354,0.8931838987993569,0.40749287605285645
